Scenario,Region,Variable,Unit,2019,2024,2030,2035,2040,2050
baseline_noce,AFE,Final Energy|Residential|Solids,EJ/yr,2.9064279999815397,2.6784270636341,2.23133237611509,1.6602500428850402,0.891247417173302,0.000604615699283654
baseline_noce,AFE,Final Energy|Residential|Solids|Coal,EJ/yr,0.000223000001247651,0.000180727895290801,0.000128875600346529,8.49414832574509e-05,4.9259426435341395e-05,1.52662270462648e-05
baseline_noce,AFE,Final Energy|Commercial|Electricity,EJ/yr,0.0342949999999999,0.0407626249910519,0.05053874754566089,0.0666363050692566,0.0846611253610684,0.14363985921909803
baseline_noce,AFE,Final Energy|Commercial|Gases,EJ/yr,,0.000105311067937002,0.000281922723311337,0.000506635425144161,0.000785667261797276,9.93056764209099e-10
baseline_noce,AFE,Final Energy|Commercial|Gases|Gas,EJ/yr,,0.000105311067937002,0.000281922723311337,1.41533249932915e-09,2.50361467246204e-10,7.82757896373086e-10
baseline_noce,AFE,Final Energy|Commercial|Hydrogen,EJ/yr,,2.44294100151643e-06,9.38297212341608e-06,5.06140952327068e-10,1.8611642819503001e-10,8.63742792234802e-11
baseline_noce,AFE,Final Energy|Commercial|Heat,EJ/yr,,0.000201573301384575,0.000535774575881827,0.0009260059219781021,0.00142606953637999,1.8355101590361901e-09
baseline_noce,AFE,Final Energy|Commercial|Liquids,EJ/yr,0.0217200000130493,0.015929946645844798,0.0105652743524247,0.00745648896640395,0.00928116221236311,0.00319307142146189
baseline_noce,AFE,Final Energy|Commercial|Liquids|Oil,EJ/yr,0.0217200000130493,0.015929946645844798,0.0105652743524247,0.00745648873077062,0.00928116221236311,0.00319307142146189
baseline_noce,AFE,Final Energy|Commercial|Solids,EJ/yr,0.174770999984471,0.151831348400839,0.142642009964821,0.122680148102355,0.0812471670972581,4.866808031926601e-10
baseline_noce,AFE,Final Energy|Transportation|Electricity,EJ/yr,,0.00228272134058847,0.00244744277536714,0.0023582368923382,0.000895444171069102,0.490926725002019
baseline_noce,AFE,Final Energy|Transportation|Gases,EJ/yr,,1.67112257372356e-07,0.0138562826992089,0.00650413984456896,6.04604749200652e-09,2.69999743412604e-10
baseline_noce,AFE,Final Energy|Transportation|Gases|Gas,EJ/yr,,1.67112257372356e-07,0.0138562826992089,0.00650413984456896,6.04604749200652e-09,2.69999743412604e-10
baseline_noce,AFE,Final Energy|Transportation|Hydrogen,EJ/yr,,8.26748016651429e-06,9.718205353242169e-05,0.000291182031831578,0.000527594653480791,0.007679673167251129
baseline_noce,AFE,Final Energy|Transportation|Liquids,EJ/yr,0.7722967000125049,0.901741136094269,1.12586749301668,1.39831347388065,1.67988915381921,1.83983166245119
baseline_noce,AFE,Final Energy|Transportation|Liquids|Oil,EJ/yr,0.7722967000125049,0.901741109485396,1.1120413338149202,1.34868169441936,1.5330881844996,1.47744806433814
baseline_noce,AFN,Final Energy|Agriculture|Electricity,EJ/yr,0.0528260055745844,0.0578879916038553,0.0664796808754081,0.0713459021019406,0.0776817854427222,0.114661197910174
baseline_noce,AFN,Final Energy|Agriculture|Gases,EJ/yr,0.00255700027247236,0.00285107053763599,0.0032082141011632,0.00350827406997809,0.0032177843093498903,5.59147346374609e-08
baseline_noce,AFN,Final Energy|Agriculture|Gases|Gas,EJ/yr,0.00255700027247236,0.00285107053763599,0.0032082141011632,0.0035082732779151498,0.00321778331878359,5.46955997610069e-08
baseline_noce,AFN,Final Energy|Agriculture|Liquids,EJ/yr,0.0904690095493758,0.0955433734071993,0.09751391884421941,0.09949128276072951,0.103264023738959,0.0847535766679242
baseline_noce,AFN,Final Energy|Agriculture|Liquids|Oil,EJ/yr,0.0904690095493758,0.0955433734071993,0.09751391884421941,0.0994912819371502,0.103264022610982,0.0847535753138994
baseline_noce,AFN,Final Energy|Agriculture|Solids,EJ/yr,,5.55158217231437e-07,1.9771055983664302e-09,0.00154296690134945,8.892573209953099e-09,6.34188295216715e-09
baseline_noce,AFN,Final Energy|Industry|Electricity,EJ/yr,0.317964999776774,0.352937893787902,0.397648744044797,0.45846031295054,0.519285899888758,1.0585347188749599
baseline_noce,AFN,Final Energy|Industry|Gases,EJ/yr,0.939821000119489,1.05567132474721,0.9561716677996049,0.856749724486396,0.6855637270374071,0.164414154900734
baseline_noce,AFN,Final Energy|Industry|Gases|Gas,EJ/yr,0.939821000119489,1.05567132474721,0.9561716677996049,0.856749724429554,0.685563726973885,0.164414154858607
baseline_noce,AFN,Final Energy|Industry|Hydrogen,EJ/yr,,0.00017958965633630498,9.78974729374068e-10,1.7058776071036199e-09,0.000680001643423617,0.00244374709194219
baseline_noce,AFN,Final Energy|Industry|Heat,EJ/yr,,0.000180542837154579,0.214008031359119,0.501248951887998,0.8434532892941909,1.82140638399376
baseline_noce,AFN,Final Energy|Industry|Liquids,EJ/yr,0.387058999935489,0.35844712118289196,0.41897014161525,0.468679818910825,0.546013849772531,0.297556635208498
baseline_noce,AFN,Final Energy|Industry|Liquids|Oil,EJ/yr,0.387058999935489,0.35844712118289196,0.41897014161525,0.468679818851923,0.54601384970206,0.29755663476303
baseline_noce,AFN,Final Energy|Industry|Solids,EJ/yr,0.14742130960854002,0.149410973638147,0.142603974528402,0.122111885211502,0.117781017357715,0.104355218792526
baseline_noce,AFN,Final Energy|Industry|Solids|Coal,EJ/yr,0.123076309635871,0.125483553226112,0.117840922985032,0.0972816529945768,0.094201578740299,0.08812996505144259
baseline_noce,AFN,Final Energy|Residential|Electricity,EJ/yr,0.410094014698347,0.519003793388143,0.657484097325477,0.794882756830362,1.02937310018183,1.4616069281253798
baseline_noce,AFN,Final Energy|Residential|Gases,EJ/yr,0.490880034809678,0.575812027336159,0.657386743963065,0.600968229897845,0.376349105151632,0.006817931807775811
baseline_noce,AFN,Final Energy|Residential|Gases|Gas,EJ/yr,0.490880034809678,0.575812027336159,0.657386743963065,0.600968229897845,0.376349105151632,0.006817931807775811
baseline_noce,AFN,Final Energy|Residential|Hydrogen,EJ/yr,,6.27404344405287e-08,9.59364803510979e-10,1.1482990618861701e-09,8.13348902764858e-10,4.18467478869952e-10
baseline_noce,AFN,Final Energy|Residential|Liquids,EJ/yr,0.406858999996689,0.359108280608427,0.232345801684725,0.158489664395563,0.07429320087960549,0.039060978076504
baseline_noce,AFN,Final Energy|Residential|Liquids|Oil,EJ/yr,0.406858999996689,0.359108280608427,0.232345801684725,0.158489664395563,0.07429320087960549,0.039060978076504
baseline_noce,AFN,Final Energy|Residential|Solids,EJ/yr,0.135083000017723,0.00010256234302554,7.116955148833259e-05,1.3281141207082301e-05,2.02500438007007e-06,2.65691640465132e-10
